09/13/21;06:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;06:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:00AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:05AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:10AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;07:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:00AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:05AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:10AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:40AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:45AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:50AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;08:55AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:00AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:05AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:10AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;09:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
